accession,cds_id,start,end,strand,phrog_id,phrog_category,phrog_annot,method
DQ003638.2,,1,123,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,264,551,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,717,971,,14554,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,968,1228,,9566,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,1252,1437,,18466,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,1455,1628,,10584,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,1647,1754,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,1785,2045,,9527,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,2059,2346,,9852,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,2499,2771,,9612,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,2904,3032,,9360,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,3103,3249,,27358,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,3335,3745,,9107,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,3813,3920,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,3913,4143,,7175,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,4150,4263,,12028,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,4394,4224,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,4442,4942,,13577,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,4945,5451,,12804,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,5461,6645,,11450,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,6798,7223,,7738,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,7241,7531,,6964,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,7528,7713,,6159,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,7713,8060,,3392,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,8092,8373,,9728,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,8452,8784,,9112,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,8884,9180,,11576,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,9245,9424,,30920,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,9447,9809,,10101,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,9809,10165,,10214,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,10982,10209,,246,other,NinI-like serine-threonine phosphatase,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,11315,10995,,9499,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,11478,11308,,9952,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,12049,11522,,121,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,12327,12046,,9517,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,12611,12387,,14763,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,13154,12612,,9379,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,13378,13151,,9937,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,14631,13381,,10246,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,15055,14642,,10136,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,15609,15121,,10442,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,16247,15615,,9902,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,16447,16250,,12982,tail,tail fiber protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,16856,16437,,1934,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,17038,16853,,22601,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,17646,17029,,547,other,phosphoesterase,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,17861,17643,,9695,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,18255,17878,,1238,"moron, auxiliary metabolic gene and host takeover",phosphoheptose isomerase,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,18614,18258,,9618,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,19632,18691,,548,"DNA, RNA and nucleotide metabolism",RNA ligase,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,20182,19646,,1460,"DNA, RNA and nucleotide metabolism",tRNA amidotransferase,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,20370,20179,,9898,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,20874,20371,,1017,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,21145,20876,,9717,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,22403,21192,,1075,"DNA, RNA and nucleotide metabolism",tRNA splicing ligase,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,22721,22509,,9650,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,23136,22705,,990,other,metal-dependent phosphohydrolase,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,23374,23150,,14899,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,23630,23388,,8,transcription regulation,transcriptional regulator,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,25253,23733,,850,"DNA, RNA and nucleotide metabolism",RNA-binding protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,25283,25375,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,25588,25731,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,26142,25924,,6885,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,26341,26502,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,26721,26813,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,26807,26926,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,26919,27047,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,27621,27214,,9386,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,27844,27647,,9389,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,28216,28094,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,28720,28625,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,28711,28830,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,28935,29030,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,30254,29979,,1048,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,30809,30378,,9075,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,31098,31187,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,31591,31502,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,31718,31596,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,31849,31757,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,31934,32026,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,32402,32166,,1215,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,32793,32452,,937,other,hemolysin,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,33162,32818,,1481,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,33447,33178,,15252,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,33563,33949,,3395,"moron, auxiliary metabolic gene and host takeover",membrane protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,33933,34205,,1321,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,34211,34627,,1063,head and packaging,terminase small subunit,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,34627,34908,,9315,head and packaging,terminase large subunit,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,34957,34868,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,35294,35136,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,35258,36811,,675,head and packaging,terminase large subunit,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,36880,37719,,1917,head and packaging,virion structural protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,37724,37921,,26070,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,37911,38549,,1116,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,38539,38919,,1991,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,38983,40008,,5182,lysis,endolysin,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,40205,40101,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,40181,40909,,6631,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,41011,41331,,9678,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,41414,41683,,1108,head and packaging,portal protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,41688,43343,,15361,head and packaging,portal protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,43466,44236,,1028,head and packaging,head maturation protease,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,44229,45122,,1133,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,45292,46695,,752,head and packaging,major head protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,46777,47172,,9462,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,47179,48060,,772,tail,tail fiber protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,48078,48896,,1004,head and packaging,virion structural protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,48956,49513,,1127,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,49526,50365,,1000,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
