accession,name,site_start,site_end,gap_bp,left_gene,left_category,right_gene,right_category,dist_to_lysis_bp,insertion_score,rationale
DQ003638.2,"Listeria phage A511, complete genome",26142,27213,1071,gp59,other,gp60,other,,55.0,comfortable gap (1071 bp ≥ 1000) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",30803,32165,1362,gp65,other,gp66,other,,55.0,comfortable gap (1362 bp ≥ 1000) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",126395,127418,1023,gp171,other,gp172,other,,55.0,comfortable gap (1023 bp ≥ 1000) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",28203,29044,841,gp62,other,gp63,other,,45.0,tight gap (841 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",29299,29978,679,gp63,other,gp64,other,,45.0,tight gap (679 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",551,716,165,gp1,other,gp2,other,,35.0,minimal gap (165 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",1628,1769,141,gp5,other,gp6,other,,35.0,minimal gap (141 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",2346,2498,152,gp7,other,gp8,other,,35.0,minimal gap (152 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",2771,2903,132,gp8,other,gp9,other,,35.0,minimal gap (132 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",3032,3102,70,gp9,other,gp10,other,,35.0,minimal gap (70 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",3249,3334,85,gp10,other,gp11,other,,35.0,minimal gap (85 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",4263,4441,178,gp14,other,gp15,other,,35.0,minimal gap (178 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",6645,6797,152,gp17,other,gp18,other,,35.0,minimal gap (152 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",8373,8451,78,gp22,other,gp23,other,,35.0,minimal gap (78 bp) · neither flank essential · far from lysis cluster
