accession,name,site_start,site_end,gap_bp,left_gene,left_category,left_phrog_category,right_gene,right_category,right_phrog_category,dist_to_lysis_bp,insertion_score,rationale
DQ003638.2,"Listeria phage A511, complete genome",40101,41011,910,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,1061,80.0,tight gap (910 bp) · neither flank essential · near lysis cluster (1061 bp) · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",38919,38983,64,hypothetical protein,permissive,unknown function,endolysin,lysis,lysis,544,73.0,minimal gap (64 bp) · neither flank essential · ⭐ adjacent to lysis gene · one permissive flank
DQ003638.2,"Listeria phage A511, complete genome",40008,40181,173,endolysin,lysis,lysis,hypothetical protein,permissive,unknown function,599,73.0,minimal gap (173 bp) · neither flank essential · ⭐ adjacent to lysis gene · one permissive flank
DQ003638.2,"Listeria phage A511, complete genome",107935,107994,59,RNA polymerase sigma factor,permissive,transcription regulation,holin,lysis,lysis,212,73.0,minimal gap (59 bp) · neither flank essential · ⭐ adjacent to lysis gene · one permissive flank
DQ003638.2,"Listeria phage A511, complete genome",10209,11315,1106,NinI-like serine-threonine phosphatase,permissive,other,hypothetical protein,permissive,unknown function,28733,70.0,comfortable gap (1106 bp ≥ 1000) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",13151,14631,1480,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,25604,70.0,comfortable gap (1480 bp ≥ 1000) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",13381,15055,1674,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,25277,70.0,comfortable gap (1674 bp ≥ 1000) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",15121,16247,1126,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,23811,70.0,comfortable gap (1126 bp ≥ 1000) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",29030,30254,1224,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,9853,70.0,comfortable gap (1224 bp ≥ 1000) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",106858,106920,62,UvsX-like recombinase,permissive,other,hypothetical protein,permissive,unknown function,1287,70.0,minimal gap (62 bp) · neither flank essential · near lysis cluster (1287 bp) · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",10165,10982,817,hypothetical protein,permissive,unknown function,NinI-like serine-threonine phosphatase,permissive,other,28922,60.0,tight gap (817 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",11308,12049,741,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,27817,60.0,tight gap (741 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",11522,12327,805,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,27571,60.0,tight gap (805 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",12046,12611,565,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,27167,60.0,tight gap (565 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",12387,13154,767,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,26725,60.0,tight gap (767 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",12612,13378,766,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,26500,60.0,tight gap (766 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",14642,15609,967,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,24370,60.0,tight gap (967 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",16437,17038,601,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,22758,60.0,tight gap (601 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",16853,17646,793,hypothetical protein,permissive,unknown function,phosphoesterase,permissive,other,22246,60.0,tight gap (793 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",17029,17861,832,phosphoesterase,permissive,other,hypothetical protein,permissive,unknown function,22050,60.0,tight gap (832 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",17643,18255,612,hypothetical protein,permissive,unknown function,phosphoheptose isomerase,permissive,"moron, auxiliary metabolic gene and host takeover",21546,60.0,tight gap (612 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",17878,18614,736,phosphoheptose isomerase,permissive,"moron, auxiliary metabolic gene and host takeover",hypothetical protein,permissive,unknown function,21249,60.0,tight gap (736 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",20179,20874,695,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,18969,60.0,tight gap (695 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",20371,21145,774,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,18737,60.0,tight gap (774 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",22509,23136,627,hypothetical protein,permissive,unknown function,metal-dependent phosphohydrolase,permissive,other,16673,60.0,tight gap (627 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",22705,23374,669,metal-dependent phosphohydrolase,permissive,other,hypothetical protein,permissive,unknown function,16456,60.0,tight gap (669 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",27047,27621,574,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,12161,60.0,tight gap (574 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",27214,27844,630,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,11966,60.0,tight gap (630 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",27647,28216,569,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,11564,60.0,tight gap (569 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",28094,28711,617,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,11093,60.0,tight gap (617 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",29979,30809,830,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,9101,60.0,tight gap (830 bp) · neither flank essential · far from lysis cluster · both flanks permissive
